VideoAnalysis: Time (s),VideoAnalysis: X (m)
0.000641667,40.15442428
0.001283333,54.82227194
0.001925,63.94394539
0.002566667,70.16340793
0.003208333,76.66571307
0.00385,82.52854801
0.004491667,87.70579711
0.005133333,91.96688217
0.005775,95.25953882
0.006416667,98.51530295
0.007058333,102.8563218
0.0077,105.2358888
0.008341667,108.6054048
0.008983333,110.7236498
0.009625,113.6842739
0.010266667,116.9092943
0.010908333,119.5624807
0.01155,121.6899489
0.012191667,124.4784078
0.012833333,126.5782066
0.013475,128.0662046
